id,text,created_at,retweets,likes,hashtags,mentions,label
8795834670,Low business each character. password Road series about event draw week six culture.,2025-02-04 11:20:44,95,1290,#Ransomware,@cooktyler,1
4649547498,For own score trip seem pretty. overload Out western green seat open man specific.,2024-12-11 06:06:57,131,45,#DDoS,@mary33,3
3917515630,Include author reach practice.,2024-09-27 09:46:11,979,1110,#InfoSec,@christopher83,0
5888796954,More whom world various.,2024-09-03 11:34:59,163,1997,#ThreatAlert,@jmeza,0
1733082048,Country tonight hit beat modern soldier.,2024-06-01 08:11:41,582,298,#Privacy,@robinsoncarol,0
3604990545,Court child blue white any draw approach. server down Official coach tree stage affect relate house.,2024-05-23 09:48:05,201,1796,#ThreatAlert,@ygarcia,3
7717730001,Sure image fish. DDoS Maybe without forget follow.,2024-12-09 01:21:27,916,1258,#CyberSecurity,@kathy46,3
6190372095,Word more American hand get education baby. reset your password Born director politics more fact rock simple.,2024-10-30 03:01:53,7,1295,#PhishingWarning,@dmorrison,1
8129516364,Huge each type cold. overload Voice business administration choice.,2025-03-09 23:54:36,801,1701,#ThreatAlert,@amymiller,3
7249110268,Present threat else. overload Rule care change like.,2025-01-27 03:33:46,91,674,#ThreatAlert,@aowen,3
7925788332,Career high or.,2024-12-25 03:45:31,410,125,#PhishingWarning,@ulawrence,0
5899746057,Exist participant film about sometimes off send. malicious file Trade painting thus than relate.,2024-04-26 19:46:11,438,1270,#Ransomware,@ashley86,2
1168056357,Admit store threat play range. exploit Recently vote large simply cold.,2025-01-06 09:07:45,956,374,#PhishingWarning,@john67,2
5156643256,Property boy know senior. botnet Car yourself involve debate simple half ground.,2024-05-04 05:40:13,172,981,#CyberSecurity,@akeller,3
1438149930,Value media network they.,2025-02-23 04:33:53,302,1978,#ThreatAlert,@rebeccahampton,0
9258592369,Government allow give few think and radio.,2024-08-02 16:50:47,595,1994,#TechNews,@jimenezvincent,0
5404901851,While speech marriage should evening least.,2024-08-03 21:19:49,497,1132,#InfoSec,@anarodriguez,0
6952251987,Available itself design up.,2024-06-21 13:26:44,832,296,#CyberSecurity,@smithjamie,0
7679986742,Act realize baby white also plant. ransomware Class management boy practice member movement relationship.,2024-12-03 12:18:00,679,654,#ThreatAlert,@cmitchell,4
6207607246,Past line one where direction. server down Home factor relationship oil.,2025-02-10 08:23:02,208,289,#ThreatAlert,@jesus57,3
1417658654,Realize after after say because move system learn.,2024-10-20 23:02:25,866,1549,#MalwareAlert,@stevenwalker,0
6326401540,Current recent material under bring.,2024-04-16 07:34:57,171,1167,#InfoSec,@lisacantu,0
9309688851,Organization adult perhaps result nice organization.,2025-02-15 19:59:12,308,1972,#Privacy,@adamskatherine,0
5426292112,Kid center store central whose. distributed denial Support happy car specific computer civil plan.,2024-08-05 06:18:47,360,1539,#CyberSecurity,@jacob78,3
8141282958,Agent table forward he source north. ransom Teach company floor resource true.,2024-04-02 11:58:44,557,1891,#Ransomware,@carlosjones,4
